name,model,optim,logl,k,AIC,AICc,BIC,rf_pandit,rf_q1,treelength
PF01750,poisson,optimizedtruetree,-7663.0466,51,15428.0932,15485.1255,15579.9067,0,20,16.073185156899996
PF01750,q5,optimizedtruetree,-7879.4073,51,15860.8145,15917.8468,16012.6280,0,20,47.930339791600005
PF01750,pogofit,inferredtree,-6703.9305,52,13511.8610,13571.7740,13666.6511,18,8,27.882051932300005
PF01750,q1,optimizedtruetree,-6869.8366,53,13845.6732,13908.5743,14003.4401,0,20,28.335815441
PF00534,q1,optimizedtruetree,-30449.2566,154,61206.5132,61795.8959,61739.9433,0,78,88.32634468170002
PF00534,pogofit,inferredtree,-30117.0328,154,60542.0656,61131.4483,61075.4957,88,82,94.00620954289998
PF00534,q5,optimizedtruetree,-33420.4096,154,67148.8192,67738.2019,67682.2493,0,78,174.31219202569994
PF00534,poisson,optimizedtruetree,-33186.1374,153,66678.2748,67252.9577,67208.2411,0,78,62.40808714680002
PF00534,q4,optimizedtruetree,-31834.8550,172,64013.7100,64958.3449,64609.4891,0,78,109.80990268279997
PF00534,q2,optimizedtruetree,-30887.7111,173,62121.4222,63092.4544,62720.6651,0,78,81.60502797649998
PF00534,poisson,inferredtree,-33028.1375,153,66362.2749,66936.9578,66892.2412,102,102,60.89693309179999
PF00534,pogofit,optimizedtruetree,-30161.8718,154,60631.7435,61221.1262,61165.1736,0,78,94.91303158220002
PF00534,q3,inferredtree,-31052.5575,173,62451.1149,63422.1472,63050.3578,72,78,88.41233480680006
PF00534,q2,inferredtree,-30810.2022,173,61966.4044,62937.4367,62565.6473,92,88,79.90800086649999
PF00534,q3,optimizedtruetree,-31111.8084,173,62569.6169,63540.6491,63168.8598,0,78,89.28693158450001
PF00534,q1,inferredtree,-30391.4577,154,61090.9155,61680.2982,61624.3456,78,0,91.26708130769994
PF00534,q4,inferredtree,-31757.9292,172,63859.8584,64804.4933,64455.6374,86,94,109.2804192956
PF00534,q5,inferredtree,-33313.6188,154,66935.2375,67524.6202,67468.6676,88,94,172.60605870639998
PF00555,poisson,optimizedtruetree,-16664.0835,73,33474.1669,33531.3310,33734.9342,0,22,25.435795230199993
PF00555,q5,optimizedtruetree,-17116.0482,74,34380.0963,34439.1389,34644.4357,0,22,64.9004047006
PF00555,pogofit,inferredtree,-15203.2504,74,30554.5007,30613.5433,30818.8401,6,18,48.93821255569999
PF00555,q1,optimizedtruetree,-15366.5638,93,30919.1276,31022.5832,31251.3379,0,22,52.66823138009999
PF00555,q4,optimizedtruetree,-16154.7554,93,32495.5107,32598.9663,32827.7210,0,22,42.550321833800005
PF00555,q1,inferredtree,-15356.2173,93,30898.4345,31001.8901,31230.6449,22,0,53.48392529390002
PF00555,q2,inferredtree,-15673.5495,74,31495.0990,31554.1416,31759.4384,10,20,42.395090746600026
PF00555,q3,inferredtree,-15935.1574,73,32016.3148,32073.4788,32277.0820,6,24,28.956246996100003
PF00555,q5,inferredtree,-17110.4461,74,34368.8922,34427.9348,34633.2316,8,20,64.42649551929999
PF00555,q4,inferredtree,-16152.1133,93,32490.2266,32593.6823,32822.4370,8,26,42.18544739150001
PF00555,pogofit,optimizedtruetree,-15205.1566,74,30558.3133,30617.3558,30822.6527,0,22,48.82641201309999
PF00555,poisson,inferredtree,-16641.7895,73,33429.5791,33486.7431,33690.3463,24,22,25.006987937500014
PF00555,q2,optimizedtruetree,-15677.7919,74,31503.5837,31562.6263,31767.9231,0,22,42.06708401989998
PF00555,q3,optimizedtruetree,-15939.7549,73,32025.5098,32082.6738,32286.2771,0,22,29.162199240600003
PF00611,poisson,optimizedtruetree,-7023.5715,57,14161.1430,14275.1430,14318.0976,0,24,23.1865532385
PF00611,q5,optimizedtruetree,-6967.0105,58,14050.0209,14170.0911,14209.7291,0,24,69.09422698180002
PF00611,q1,optimizedtruetree,-6407.1467,58,12930.2934,13050.3636,13090.0016,0,24,33.94337390019999
PF00611,pogofit,inferredtree,-6213.0399,58,12542.0798,12662.1500,12701.7881,14,12,39.0053362903
PF00611,q4,optimizedtruetree,-6617.8479,59,13353.6959,13480.1244,13516.1577,0,24,54.83192042150003
PF00611,q2,optimizedtruetree,-6462.9276,58,13041.8552,13161.9254,13201.5634,0,24,29.543723861800004
PF00611,pogofit,optimizedtruetree,-6220.2364,58,12556.4728,12676.5430,12716.1810,0,24,38.65654989610002
PF00611,poisson,inferredtree,-6992.5368,57,14099.0737,14213.0737,14256.0283,34,30,22.3639872699
PF00611,q4,inferredtree,-6600.0603,59,13318.1207,13444.5493,13480.5825,26,14,54.26117514430001
PF00611,q5,inferredtree,-6942.9249,58,14001.8497,14121.9199,14161.5580,22,24,66.8805467957
PF00611,q3,inferredtree,-6506.8834,58,13129.7669,13249.8370,13289.4751,22,12,32.65152372069999
PF00611,q3,optimizedtruetree,-6524.2248,58,13164.4496,13284.5198,13324.1579,0,24,32.477080736599994
PF00611,q2,inferredtree,-6452.6609,58,13021.3218,13141.3920,13181.0300,18,18,29.259965604700007
PF00611,q1,inferredtree,-6395.1200,58,12906.2401,13026.3103,13065.9483,24,0,34.16435990389999
PF05157,poisson,optimizedtruetree,-6965.5250,49,14029.0499,14073.1941,14180.0388,0,20,18.83832640829999
PF05157,q2,optimizedtruetree,-6402.9433,50,12905.8865,12952.2501,13059.9567,0,20,22.784694131299997
PF05157,poisson,inferredtree,-6944.4542,49,13986.9083,14031.0525,14137.8971,28,22,18.293595731499998
PF05157,q3,optimizedtruetree,-6422.6337,70,12985.2673,13095.7118,13200.9656,0,20,45.4622516954
PF05157,q4,inferredtree,-6576.1004,50,13252.2008,13298.5645,13406.2711,24,10,29.892429729899998
PF05157,q5,inferredtree,-6964.0532,50,14028.1064,14074.4700,14182.1766,28,28,35.0692974317
PF05157,q3,inferredtree,-6411.6501,70,12963.3001,13073.7446,13178.9984,28,24,45.3316714023
PF05157,q2,inferredtree,-6398.2856,50,12896.5713,12942.9349,13050.6415,22,20,22.424950671799998
PF05157,q1,inferredtree,-6333.3469,50,12766.6937,12813.0574,12920.7640,20,0,31.460241094000004
PF05157,pogofit,optimizedtruetree,-6208.0452,50,12516.0903,12562.4540,12670.1606,0,20,27.335068429300005
PF05157,q5,optimizedtruetree,-6985.9002,50,14071.8004,14118.1641,14225.8707,0,20,35.367224735899995
PF05157,pogofit,inferredtree,-6200.1493,50,12500.2985,12546.6622,12654.3688,24,16,27.3907212874
PF05157,q1,optimizedtruetree,-6342.0237,50,12784.0474,12830.4111,12938.1177,0,20,31.339006973300002
PF05157,q4,optimizedtruetree,-6581.1826,50,13262.3651,13308.7287,13416.4353,0,20,29.980177707300005
