name,tree,rep,model,logl,k,AIC,AICc,BIC,rf,treelength
LAC,opisthokonta,5,m2,-24705.6980,138,49687.3960,49999.2985,50179.8276,26,22.830849722800004
LAC,opisthokonta,5,m1,-24036.5341,158,48389.0682,48876.8740,48952.8666,18,25.04856120599999
LAC,opisthokonta,5,poisson,-27504.2494,137,55282.4988,55587.4343,55771.3620,24,22.153165310800002
LAC,opisthokonta,5,m4,-25718.0415,157,51750.0829,52227.1214,52310.3130,30,65.33550825229997
LAC,opisthokonta,5,m5,-28700.4029,137,57674.8057,57979.7412,58163.6689,34,33.8292247892
LAC,opisthokonta,5,GTR20,-23870.7489,345,48431.4978,287171.4978,49662.5767,16,23.6525364636
LAC,prum,5,GTR20,-12654.6691,605,26519.3382,759779.3382,28678.1866,126,7.318744017900005
LAC,prum,5,poisson,-14570.5919,397,29935.1838,345947.1838,31351.8166,139,7.285593511800008
LAC,prum,5,m1,-13167.8351,399,27133.6701,346333.6701,28557.4396,130,7.374316362400007
LAC,prum,5,m3,-13717.2383,398,28230.4767,345834.4767,29650.6778,131,6.963046104199997
LAC,prum,5,m2,-13443.1680,418,27722.3360,378006.3360,29213.9040,134,8.052622044200003
LAC,prum,5,m4,-13870.5669,416,28573.1337,375517.1337,30057.5650,131,7.436298165200007
LAC,prum,5,m5,-15412.2569,397,31618.5138,347630.5138,33035.1466,140,8.970041774099988
LAC,ruhfel,5,poisson,-40617.7925,679,82593.5851,1006033.5851,85016.4910,220,26.88515836350001
LAC,ruhfel,5,m1,-35970.9988,681,73303.9975,1002187.9975,75734.0401,204,24.653973447300018
LAC,ruhfel,5,GTR20,-35275.5553,887,72325.1105,1647637.1105,75490.2321,202,28.25230580489999
LAC,ruhfel,5,m3,-37642.8376,699,76683.6752,1055283.6752,79177.9480,218,33.98908163979992
LAC,ruhfel,5,m2,-37035.1082,680,75430.2164,1001590.2164,77856.6907,200,29.357904188500033
LAC,ruhfel,5,m4,-38459.0918,681,78280.1836,1007164.1836,80710.2262,208,42.1132971656999
LAC,ruhfel,5,m5,-42396.0557,679,86150.1115,1009590.1115,88573.0174,214,36.02522791389995
LAC,salichos,5,m2,-8937.4755,63,18000.9510,18041.6783,18225.7567,8,9.3616729691
LAC,salichos,5,m3,-9116.8568,44,18321.7136,18339.9624,18478.7207,6,9.318506389899998
LAC,salichos,5,m1,-8793.1733,64,17714.3466,17756.5801,17942.7206,8,11.4146104439
LAC,salichos,5,m5,-10120.5112,43,20327.0223,20344.3801,20480.4612,8,12.726573640599996
LAC,salichos,5,m4,-9258.8926,63,18643.7853,18684.5125,18868.5910,8,10.764622718299997
LAC,salichos,5,GTR20,-8688.5737,251,17879.1475,30529.5475,18774.8019,8,8.983303172999998
LAC,salichos,5,poisson,-9902.8114,43,19891.6229,19908.9807,20045.0617,8,8.040174042800002
