name,tree,repl,bic,model,modelr
HA,salichos,19,NA,mtZOA+F+I,3
HA,salichos,19,NA,mtART+F,4
HA,salichos,19,NA,mtART,5
HA,salichos,20,NA,JTT+F+I+G4,1
HA,salichos,20,NA,HIVw+F+I,2
HA,salichos,20,NA,mtZOA+F+I,3
HA,salichos,20,NA,mtART+F,4
HA,salichos,20,NA,mtART,5
HA,dosreis,1,NA,JTT+G4,1
HA,dosreis,1,NA,mtREV+F+I+G4,2
HA,dosreis,1,NA,mtInv,3
HA,dosreis,1,NA,mtART+I+G4,4
HA,dosreis,1,NA,mtART,5
HA,dosreis,2,NA,HIVb+G4,1
HA,dosreis,2,NA,HIVw,2
HA,dosreis,2,NA,mtVer,3
HA,dosreis,2,NA,mtART+I+G4,4
HA,dosreis,2,NA,mtART,5
HA,dosreis,3,NA,JTT+G4,1
HA,dosreis,3,NA,PMB+F,2
HA,dosreis,3,NA,mtMAM+G4,3
HA,dosreis,3,NA,mtART+G4,4
HA,dosreis,3,NA,mtART,5
HA,dosreis,4,NA,HIVb+F+G4,1
HA,dosreis,4,NA,mtREV+F+G4,2
HA,dosreis,4,NA,mtZOA+F+I,3
HA,dosreis,4,NA,mtART+I+G4,4
HA,dosreis,4,NA,mtART,5
HA,dosreis,5,NA,JTT+G4,1
HA,dosreis,5,NA,mtREV+F+G4,2
HA,dosreis,5,NA,mtMAM+G4,3
HA,dosreis,5,NA,mtART+I+G4,4
HA,dosreis,5,NA,mtART,5
HA,dosreis,6,NA,JTT+G4,1
HA,dosreis,6,NA,cpREV,2
HA,dosreis,6,NA,mtZOA+F,3
HA,dosreis,6,NA,mtART+I+G4,4
HA,dosreis,6,NA,mtART+I,5
HA,dosreis,7,NA,JTT+F+G4,1
HA,dosreis,7,NA,Blosum62+G4,2
HA,dosreis,7,NA,mtZOA+F,3
HA,dosreis,7,NA,mtMAM,4
HA,dosreis,7,NA,mtART,5
HA,dosreis,8,NA,JTT+G4,1
HA,dosreis,8,NA,mtREV+F+G4,2
HA,dosreis,8,NA,mtInv,3
HA,dosreis,8,NA,mtART+I+G4,4
HA,dosreis,8,NA,mtART,5
HA,dosreis,9,NA,JTT+F+G4,1
HA,dosreis,9,NA,Blosum62+I+G4,2
HA,dosreis,9,NA,mtMAM+G4,3
HA,dosreis,9,NA,mtART+I+G4,4
HA,dosreis,9,NA,mtART,5
HA,dosreis,10,NA,JTT+G4,1
HA,dosreis,10,NA,cpREV+I,2
HA,dosreis,10,NA,mtMAM+G4,3
HA,dosreis,10,NA,mtMAM,4
HA,dosreis,10,NA,mtART+I,5
HA,dosreis,11,NA,JTT+G4,1
HA,dosreis,11,NA,HIVw+I,2
HA,dosreis,11,NA,mtVer,3
HA,dosreis,11,NA,mtART+I+G4,4
HA,dosreis,11,NA,mtART,5
HA,dosreis,12,NA,JTT+I+G4,1
HA,dosreis,12,NA,HIVw+I,2
HA,dosreis,12,NA,mtInv,3
HA,dosreis,12,NA,mtART+I+G4,4
HA,dosreis,12,NA,mtART,5
HA,dosreis,13,NA,JTT+F+G4,1
HA,dosreis,13,NA,cpREV,2
HA,dosreis,13,NA,mtInv,3
HA,dosreis,13,NA,mtART+G4,4
HA,dosreis,13,NA,mtART,5
HA,dosreis,14,NA,JTT+G4,1
HA,dosreis,14,NA,HIVw,2
HA,dosreis,14,NA,mtVer,3
HA,dosreis,14,NA,mtART+G4,4
HA,dosreis,14,NA,mtART,5
HA,dosreis,15,NA,JTT+F+I+G4,1
HA,dosreis,15,NA,HIVw,2
HA,dosreis,15,NA,mtZOA+F,3
HA,dosreis,15,NA,mtMAM,4
HA,dosreis,15,NA,mtART,5
HA,dosreis,16,NA,HIVb+F+I+G4,1
HA,dosreis,16,NA,FLU+F,2
HA,dosreis,16,NA,mtVer,3
HA,dosreis,16,NA,mtART+G4,4
HA,dosreis,16,NA,mtART,5
HA,dosreis,17,NA,JTT+G4,1
HA,dosreis,17,NA,mtREV+F+I+G4,2
HA,dosreis,17,NA,mtZOA+F+I,3
HA,dosreis,17,NA,mtMAM,4
HA,dosreis,17,NA,mtART+I,5
HA,dosreis,18,NA,JTT+F+G4,1
HA,dosreis,18,NA,FLU,2
HA,dosreis,18,NA,mtZOA+F,3
HA,dosreis,18,NA,mtMAM+I,4
HA,dosreis,18,NA,mtART,5
HA,dosreis,19,NA,HIVb+F+I+G4,1
HA,dosreis,19,NA,cpREV,2
HA,dosreis,19,NA,mtMAM+I+G4,3
HA,dosreis,19,NA,mtMAM,4
HA,dosreis,19,NA,mtART+I,5
HA,dosreis,20,NA,JTT+G4,1
HA,dosreis,20,NA,FLU,2
HA,dosreis,20,NA,mtMAM+G4,3
HA,dosreis,20,NA,mtMAM+I,4
HA,dosreis,20,NA,mtART,5
HA,andersen,1,NA,JTT+F+I+G4,1
HA,andersen,1,NA,FLU+F,2
HA,andersen,1,NA,mtZOA+F+I,3
HA,andersen,1,NA,mtART+I+G4,4
HA,andersen,1,NA,mtART,5
HA,andersen,2,NA,HIVb+G4,1
HA,andersen,2,NA,DCMut+G4,2
HA,andersen,2,NA,mtZOA+F+I,3
HA,andersen,2,NA,mtART+G4,4
HA,andersen,2,NA,mtART,5
HA,andersen,3,NA,JTT+F+I+G4,1
HA,andersen,3,NA,LG+F+I,2
HA,andersen,3,NA,mtZOA+F+I,3
HA,andersen,3,NA,mtMAM+I,4
HA,andersen,3,NA,mtART,5
HA,andersen,4,NA,HIVb+F+G4,1
HA,andersen,4,NA,HIVw+I,2
HA,andersen,4,NA,mtInv,3
HA,andersen,4,NA,mtART+G4,4
HA,andersen,4,NA,mtART,5
HA,andersen,5,NA,JTT+F+I+G4,1
HA,andersen,5,NA,Dayhoff+F+I,2
HA,andersen,5,NA,mtREV+I,3
HA,andersen,5,NA,mtMAM,4
HA,andersen,5,NA,mtART,5
HA,andersen,6,NA,JTT+F+I+G4,1
HA,andersen,6,NA,mtREV+F+G4,2
HA,andersen,6,NA,mtREV+I,3
HA,andersen,6,NA,mtMAM,4
